CODE,Snomed,Loinc,Name,UZ,RU,EN,
Результат определения гормонов,,,,,,,1
cancr0001.00001,,,,Yo'q,Нет,No,
cancr0001.00002,260408008,,Weakly positive (qualifier value),Zaif (+),Слабая (+),Weak (+),
cancr0001.00003,1303844008,,Moderately positive (qualifier value),Oʻrtacha (++),Умеренная (++),Moderate (++),
cancr0001.00004,1290623009,,Strong positive (qualifier value),Yuqori (+++),Высокая (+++),High (+++),
cancr0001.00005,,,,"""0"" salbiy","""0"" negative","""0"" negative",
cancr0001.00006,,,,"""1+"" salbiy","""1+"" negative","""1+"" negative",
cancr0001.00007,,,,"""2+"" shubhali","""2+"" equivocal","""2+"" equivocal",
cancr0001.00008,,,,"""3+"" ijobiy","""3+"" positive","""3+"" positive",
Результат выявления опухоли,,,,,,,2
cancr0002.00001,260373001,,Detected (qualifier value),aniqlangan,выявлен,detected,
cancr0002.00002,260415000,,Not detected (qualifier value),aniqlanmagan,не выявлен,not detected,
Наименование антител,,,,,,,
cancr0003.00001,,,,"pS2 (TFF1, Trefoil Factor 1)","pS2 (TFF1, Trefoil Factor 1)","pS2 (TFF1, Trefoil Factor 1)",
cancr0003.00002,,33054-8,BCL2 Ag [Presence] in Tissue by Immune stain,Bcl-2 (B-hujayrali limfoma 2),Bcl-2(B-cell lymphoma 2),Bcl-2(B-cell lymphoma 2),
cancr0003.00003,,14229-9,P53 protein Ag [Presence] in Tissue by Immune stain,P53 (o'simta oqsili 53),P53(Tumor Protein 53),P53(Tumor Protein 53),
cancr0003.00004,,10439-8,CD3 Ag [Presence] in Tissue by Immune stain,CD3 (oqsil kompleksi),CD3(Комплекс белков),CD3(Protein complex),
cancr0003.00005,,47016-1,CD4 Ag [Presence] in Tissue by Immune stain,OIV / OITS bilan kasallangan bemorlarda CD4 (glikoprotein).,CD4 (Гликопротеин) у пациентов с ВИЧ/СПИД.,CD4 (Glycoprotein) in patients with HIV/AIDS.,
cancr0003.00006,,29603-8,CD5 Ag [Presence] in Tissue by Immune stain,CD5 (oqsil),CD5( Белок),CD5(Protein),
cancr0003.00007,,47019-5,CD8 Ag [Presence] in Tissue by Immune stain,CD8 (glikoprotein),CD8 (Гликопротеин),CD8 (Glycoprotein),
cancr0003.00008,,40551-4,CD10 Ag [Presence] in Tissue by Immune stain,CD10 (membran oqsili),CD10 (Мембранный белок),CD10 (Membrane protein),
cancr0003.00009,,10436-4,CD15 Ag [Presence] in Tissue by Immune stain,CD15 (sirt antijeni),CD15 (Поверхностный антиген),CD15 (Surface antigen),
cancr0003.00010,,10438-0,CD20 Ag [Presence] in Tissue by Immune stain,CD20 (B limfotsitlari yuzasida ifodalangan oqsil),"CD20 (Белок, экспрессируемый на поверхности В-лимфоцитов)",CD20 (Protein expressed on the surface of B-lymphocytes),
cancr0003.00011,,29617-8,CD23 Ag [Presence] in Tissue by Immune stain,CD23 (ba'zi B limfotsitlarida ifodalangan sirt antijeni),"СD23 (Поверхностный антиген, экспрессируемый на некоторых В-лимфоцитах)",CD23 (Surface antigen expressed on some B lymphocytes),
cancr0003.00012,,10432-3,CD30 Ag [Presence] in Tissue by Immune stain,CD30 (faollashgan limfotsitlarda ifodalangan membrana oqsili),"СD30 (Мембранный белок, экспрессируемый на активированных лимфоцитах)",CD30 (Membrane protein expressed on activated lymphocytes),
cancr0003.00013,,47018-7,CD79a Ag [Presence] in Tissue by Immune stain,CD79 a (B-hujayra antijeni retseptorlarining tarkibiy qismi bo'lgan oqsil),"СD79 α (Белок, являющийся компонентом B-клеточного антиген-рецептора)",CD79 α (A protein that is a component of the B-cell antigen receptor),
cancr0003.00014,,47020-3,CD99 Ag [Presence] in Tissue by Immune stain,CD99 (Ewing sarkomasi va boshqa ibtidoiy neyroektodermal o'smalarni tashxislash uchun marker sifatida ishlatiladigan membrana oqsili),"СD99 (Мембранный белок, используемый как маркер для диагностики саркомы Юинга и других примитивных нейроэктодермальных опухолей)",CD99 (A membrane protein used as a marker for the diagnosis of Ewing's sarcoma and other primitive neuroectodermal tumors),
cancr0003.00015,,51184-0,CD117 Ag [Presence] in Blood by Immune stain,"CD117 (protein, c-Kit deb ham ataladi)","CD117 (Белок, также известный как c-Kit)",CD117 (A protein also known as c-Kit),
cancr0003.00016,,50309-4,CD138 Ag [Presence] in Tissue by Immune stain,"CD138 (membran oqsili, sindikan-1 sifatida ham tanilgan)","CD138 (Мембранный белок, также известный как синдикан-1)",CD138 (A membrane protein also known as syndecan-1),
cancr0003.00017,,10441-4,CD34 Ag [Presence] in Tissue by Immune stain,CD34 (poya va progenitor hujayralarda ifodalangan glikoprotein. Gematopoetik ildiz hujayralarini aniqlash uchun ishlatiladi),"СD34 (Гликопротеин, экспрессируемый на стволовых клетках и клетках-предшественниках. Используется для идентификации гемопоэтических стволовых клеток)",CD34 (A glycoprotein expressed on stem and progenitor cells. Used to identify hematopoietic stem cells),
cancr0003.00018,,40554-8,CD45 Ag [Presence] in Tissue by Immune stain,CD45 (OLA) (Oq qon hujayralarining barcha turlarida ifodalangan oqsil. Oq qon hujayralarini aniqlash va o'rganish uchun ishlatiladi.,"CD45 (ОЛА) (Белок, экспрессируемый на всех типах лейкоцитов. Используется для идентификации и исследования лейкоцитов",CD45 (OLA) (A protein expressed on all types of white blood cells. Used to identify and study white blood cells,
cancr0003.00019,,,,Pan-B (barcha B hujayralarini aniqlash uchun Pan B hujayra belgisi ishlatiladi),"Pan-B (Пан-В-клеточный маркер, используемый для идентификации всех В-лимфоцитов)",Pan-B (A pan-B cell marker used to identify all B lymphocytes),
cancr0003.00020,,,,Pan-T Pan-T hujayra belgisi barcha T-limfotsitlarni aniqlash uchun ishlatiladi,"Pan-T Пан-Т-клеточный маркер, используемый для идентификации всех Т-лимфоцитов",Pan-T A pan-T cell marker used to identify all T lymphocytes,
cancr0003.00021,,,,BLA-36 B hujayralari va ba'zi limfomalar uchun maxsus marker.,BLA-36 Специфический маркер для B-клеток и некоторых лимфом.,BLA-36 A specific marker for B cells and some lymphomas.,
