CODE,UZ,RU,EN
8000, Хавфли ўсмалар ҚА,Новообразование злокачественное БДУ ,
8001, Хавфли ўсма ҳужайралари,Клетки опухолевые злокачественные ,
8002, Майда ҳужайрали хавфли ўсма,Опухоль мелкоклеточного типа злокачеств. ,
8003, Йирик ҳужайрали хавфли ўсма ,Опухоль гигантоклеточного типа злокачеств. ,
8004, Дуксимон ҳужайрали хавфли ўсма,Опухоль веретеноклеточного типа злокачеств. ,
8005, Аниқ ҳужайрали хавфли ўсма,Опухоль светлоклеточного типа злокачественная ,
8010, Карцинома ҚА,Карцинома БДУ ,
8011, Хавфли эпителиома,Эпителиома злокачественная ,
8012, Йирик ҳужайрали карцинома ҚА,Карцинома крупноклеточная БДУ ,
8013, Нейроэндокрин йирик ҳужайрали карцинома,Карцинома крупноклеточная нейроэндокринная ,
8014, Йирик ҳужайрали карцинома рабдоид фенотип билан ,Карцинома крупноклеточная с рабдоидным фенотипом ,
8015, Шишасимон ҳужайрали карцинома,Карцинома стекловидноклеточная ,
8020, Нодифференциал карцинома ҚА,Карцинома недифференцированная БДУ ,
8021, Анапластик карцинома ҚА,Карцинома анапластическая БДУ ,
8022, Плеоморф карцинома ,Карцинома плеоморфная ,
8030, Йирик ва дуксимон ҳужайрали карцинома,Карцинома гигантоклеточная и веретеноклеточная ,
8031, Йирик ҳужайрали карцинома,Карцинома гигантоклеточная ,
8032, Дуксимон ҳужайрали карцинома,Карцинома веретеноклеточная ,
8033, Псевдосаркоматозли карцинома ,Карцинома псевдосаркоматозная ,
8034, Полигонал ҳужайрали карцинома,Карцинома полигонально-клеточная ,
8035, Остеокластсимон йирик ҳужайрали карцинома,Карцинома с остеокластоподобными гигантскими клетками ,
8041, Майда ҳужайрали карцинома ҚА,Карцинома мелкоклеточная БДУ ,
8042, Сулисимон ҳужайрали карцинома,Карцинома овсяноклеточная ,
8043, Майдадуксимон ҳужайрали карцинома,Карцинома мелкоклеточная веретеноклеточная ,
8044, Оралиқ типдаги ҳужайрадан чиққан майда ҳужайрали карцинома,Карцинома мелкоклеточная из клеток промежуточного типа ,
8045, Комбинирланган майда ҳужайрали карцинома,Карцинома мелкоклеточная комбинированная ,
8046, Майда бўлмаган ҳужайрали карцинома ,Карцинома не-мелкоклеточная ,
8050, Папилляр карцинома ҚА ,Карцинома папиллярная БДУ ,
8051, Сўгалсимон карцинома ҚА,Карцинома бородавчатая БДУ ,
8052, Папилляр ясси ҳужайрали карцинома,Карцинома папиллярная плоскоклеточная ,
