CODE,UZ,RU,EN
C000, юқори лаб ташқи юзаси                                                ,верхней губы наружн.поверхность         ,
C001, пастки лаб ташқи юзаси                                                ,нижней губы наружн.поверхность         ,
C002, лаблар ташқи юзаси қўшимча аниқлаштиришсиз (ҚА)                                                   ,губы наружн.поверхность БДУ         ,
C003, юқори лаб шиллиқ қисми                                                       ,слизистая верхней губы         ,
C004, пастки лаб шиллиқ қисми                                                         ,слизистая нижней губы         ,
C005, лаблар шиллиқ қисми ҚА                                                           ,слизистая губы БДУ         ,
C006, оғиз бурчаги (лаб битишмалари)                                                         ,угол рта (спайка губ),
C008, лабнинг бир нечта қисмларининг қўшма зарарланиши                                      ,поражение нескольких смежных отделов губы       ,
C009, лаб ҚА                                                                      ,губа БДУ          ,
1, тил асоси                                ,основание языка ,
C019, тил асоси ҚА                                                          ,основание языка БДУ         ,
2, тил                                           ,язык ,
C020, тилнинг юқори юзаси ҚА                                                ,языка верхняя поверхность БДУ        ,
C021, тилнинг ён юзаси                                                     ,языка боковая поверхность         ,
C022, тилнинг пастки юзаси                                                  ,языка нижняя поверхность БДУ        ,
C023, тилнинг олд қисми                                                          ,языка передняя часть         ,
C024, тил бодомча бези                                                           ,миндалина язычная          ,
C028, тилнинг чегераланган соҳаси                                                        ,языка пограничная зона         ,
C029, тил ҚА                                                                   ,язык БДУ          ,
3, танглай                                         ,десна ,
C030, юқори жағ милки                                                        ,десна верхней челюсти         ,
C031, пастки жағ милки                                                          ,десна нижней челюсти         ,
C039, милк ҚА                                                                  ,десна БДУ          ,
4, оғиз бўшлиғи туби                              ,дно полости рта ,
C040, оғиз бўшлиғи туби олд қисми                                                  ,дна полости рта передн.часть        ,
C041, оғиз бўшлиғи туби ён қисми                                                   ,дна полости рта боков.отдел        ,
C048, оғиз бўшлиғи туби куплаб қисмларининг қўшма зарарланиши                            ,поражение неск-ких смежных отделов дна полости рта     ,
C049, оғиз бўшлиғи туби ҚА                                                          ,дно полости рта БДУ        ,
5, танглай                                          ,небо ,
C050, қаттиқ танглай                                                                 ,небо твердое          ,
C051, юмшоқ танглай ҚА                                                               ,небо мягкое БДУ         ,
C052, танглай тилчаси                                                                 ,язычок небный          ,
C058, танглайнинг кўплаб қисмларининг қўшма зарарланиши                                      ,поражение неск-ких смежных отделов неба       ,
C059, танглай ҚА                                                                    ,небо БДУ          ,
6, оғиз бўшлиғи                                    ,полость рта ,
C060, ёноқ шиллиқ қавати                                                       ,слизистая оболочка щеки         ,
C061, оғиз даҳлиз                                                                ,преддверие рта          ,
C062, оғиз бўшлиғи ретромоляр соҳаси                                            ,ретромолярная область полости рта        ,
C068, оғиз бўшлиғи кўплаб қисмларининг қўшма зарарланиши                                 ,поражение неск-ких смежных отделов полости рта,
C069, оғиз бўшлиғи ҚА                                                               ,полость рта БДУ         ,
7, қулоқ олди сўлак бези                      ,околоушная слюнная железа ,
C079, қулоқ олди сўлак бези                                                     ,околоушная слюнная железа         ,
8, катта сўлак бези                         ,большая слюнная железа ,
C080, жағ ости сўлак бези                                              ,поднижнечелюстная слюнная железа         ,
C081, тил ости сўлак бези                                                   ,подъязычная слюнная железа         ,
C088, кўплаб катта сўлак безларининг қўшма зарарланиши                            ,поражение нескольких смежных больших слюнных желез      ,
C089,катта сўлак бези                                                        ,большая слюнная железа         ,
9, бодомсимон без                                     ,миндалина ,
C090, бодомчасимон чуқурча                                                            ,ямка миндаликовая          ,
C091, танглай бодомча бези ёйи                                                       ,дужка небной миндалины         ,
C098, танглай бодомча безининг кўплаб қисмларининг зарарланиши                          ,поражение неск-ких смежных частей небной миндалины      ,
C099, бодомсимон без ҚА                                                                ,миндалина БДУ          ,
10, оғиз-ҳалқум                                     ,ротоглотка ,
C100, ҳиқилдоқ усти чуқурчаси                                                           ,надгортанника ямка          ,
C101, ҳиқилдоқ усти олд юзаси                                            ,надгортанника передняя поверхность         ,
C102, оғиз-ҳалқум ён девори                                                    ,ротоглотки боковая стенка         ,
C103, оғиз-ҳалқум орқа девори                                                       ,ротоглотки задняя стенка         ,
C104, жабрасмон ёриқ                                                                ,щель жаберная          ,
C108, оҳиз-ҳалқум кўплаб қисмларининг қўшма зарарланиши                                ,поражение неск-ких смежных отделов ротоглотки       ,
C109, оғиз-ҳалқум ҚА                                                                ,ротоглотка БДУ          ,
11, бурун-ҳалқум                                    ,носоглотка ,
C110, бурун-ҳалқум юқори девори                                                    ,носоглотки верхняя стенка         ,
C111, бурун-ҳалқум орқа девори                                                        ,носоглотки задняя стенка         ,
C112, бурун-ҳалқум ён девори                                                       ,носоглотки боковая стенка         ,
C113, бурун-ҳалқум олд девори                                                     ,носоглотки передняя стенка         ,
C118, бурун-ҳалқум кўплаб қисмларининг қўшма зарарланиши                                ,поражение неск-ких смежных отделов носоглотки       ,
C119, бурун-ҳалқум ҚА                                                              ,носоглотка БДУ          ,
12, ҳиқилдоқ-ҳалқумнинг ноксимон чўнтаги               ,грушевидный карман гортаноглотки ,
C129, ҳиқилдоқ-ҳалқумнинг ноксимон чўнтаги                                              ,грушевидный карман гортаноглотки         ,
13, ҳиқилдоқ-ҳалқум                                ,гортаноглотка ,
C130, ҳиқилдоқ-ҳалқумнинг узуксимон орт соҳаси                                          ,заперстневидная область гортаноглотки         ,
C131, ҳиқилдоқ усти чўмичсимон пастки ҳалқум бурмаси                                    ,складка нижнеглоточная черпалонадгортанная         ,
