Name,,Flags,,Cardinality,Type,Description & Constraints,,,ValueSets,,,
DiagnosticReport,,TU,,,DomainResource,Описывает ход проведенной операции,,,System,CodeSystem,Code,Display
identifier,,Σ,,0..*,Identifier,business identifier  (DiagnosticReportOperationCancer),,,,,,
subject,,S,  D,1..1,Reference(Patient ),"Определяет пациента, которому произведена операция",,,,,,
effectiveDateTime,,Σ,,0..1,dateTime,Дата описания хода операции,,,,,,
performer,,Σ,,0..*,Reference(Organization),"Определяет организацию, где проводилась операция",,,,,,
report,,,,0..*,ReferenceDiagnosticReport,Описание хода операции,,,,,,
supportingInfo,,,,0..*,BackboneElement,,,,,,,
,reference,,,1..1,ReferenceProcedure,"Ссылка на операцию, ход которой описывается",,,,,,
conclusion,,,,0..1,markdown,Текст описания хода операции,,,,,,
presentedForm,,,,0..*,Attachment,Прикрепленный отчет о ходе операции,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
