system,Name,,Flags,,Cardinality,Type,Example,Description & Constraints,,,,,,system,codesystem,code,
,Observation,,N, ,,DomainResource,,Специфическое исследование гормонов иммуногистохимии (ИГХ) с целью выявления наличия/отсутствия опухолевого процесса,,,,,,https://terminology.dhp.uz/ValueSet/SideOfLesion,CancerCodeSystem,cancr0019.00001 - cancr0019.00005,сторона порожения 
Номер морфологического исследования,identifier,,Σ,,0..*,Identifier,1235-1088/26,business identifier  (IHCspecific) ,,,,,,https://terminology.dhp.uz/ValueSet/MethodOfConfirmation,CancerCodeSystem,cancr0018.00001 - cancr0018.00009,Метод подтверждения диагноза
морфологический исследования,code,,S,,1..1,CodeableConcept,морфологический исследования,"Определяет наименование обследования для пациента
Binding: https://terminology.dhp.uz/ValueSet/NameTests  (required)",,,,,,,,,
,subject,,S,,0..1,Reference(Patient ),,"Определяет пациента, для которого проводится обследование",,,,,,,,,
Дата проведения исследования ,effective,,Σ,,0..1, ,,,,,,,,,,,
, ,effectiveDataTime, ,,,dateTime,01/02/2026,Дата и время обследования,,,,,,,,,
,performer,,Σ,,0..*,Reference(Organization),,Определяет организацию поставщика информации о пациенте,,,,,,,,,
Морфология (текст),note,,,,0..*,,Фибросарком G-2,,,,,,,,,,
Сторона порожения ,bodysite,,,,0..1,,,,,,,,,,,,
,,Slice for extension,,,,,,,,,,,,,,,
,,  extension: SideOfLesion,,,,,, ,,,,,,,,,
,,  value,,,0..1,CodeableConcept,Нет,"Определяет код параметра обследования
Binding: https://terminology.dhp.uz/ValueSet/SideOfLesion (required)",,,,,,,,,
Метод подтверждения диагноза,method,,,,0..1,,,,,,,,,,,,
,,Slice for extension,,,,,,,,,,,,,,,
,,  extension: MethodOfConfirmation,,,,,,,,,,,,,,,
,,  value,,,0..1,,Гисталогия ,"Определяет код параметра обследования
Binding: https://terminology.dhp.uz/ValueSet/MethodOfConfirmation (required)",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,
