System,Name,,Flags,,Cardinality,Type,Example,Description & Constraints,,,ValueSets,,,
,Procedure,,N,,,DomainResource,,Описывает другие виды воздействия с целью лечения онкопациента,,,System,CodeSystem,Code,Display
,identifier,,Σ,,0..*,Identifier,,business identifier  (ProcedureCancerOtherImpact),,,https://terminology.dhp.uz/ValueSet/OtherImpact ,CancerCodeSystem,cancr0043.00001--cancr0043.00015,Другие виды воздействия
,status,,,,1..1,code,completed,preparation | in-progress | not-done | on-hold | stopped | completed,,,,,,
,,,,,,,,Привязка: EventStatus (Required),,,,,,
Вид воздействия,code,,Σ,  D,0..1,CodeableConcept,Гипертармия,"Определяет код другого вида воздействия
Binding: https://terminology.dhp.uz/ValueSet/OtherImpact  (required)",,,,,,
,subject,,S,  D,1..1,Reference(Patient ),,"Определяет пациента, которому производится процедура",,,,,,
,occurrencePeriod,,,,0..1,Period,,Даты и время  начала и конца процедуры,,,,,,
Дата начала воздействия,,start,,,0..1,dateTime,05/01/2026,,,,,,,
Дата завершения воздействия,,end,,,0..1,dateTime,06/02/2026,,,,,,,
,actor,,Σ,  D,1..1,Reference(Organization),,"Определяет организацию, где проводилась процедура",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
